release,shape,scale,peak,type,cycle,cost
B1,3,2.6,2.3,OS,2,Free
B2,2.5,2.2,1.8,OS,2,Free
B3,3.1,2.6,2.3,OS,2,Free
B4,2.3,2,1.5,OS,2,Free
B5,2.9,2.2,1.9,OS,2,Free
B6,2.1,2.3,1.7,OS,2,Free
B7,3,2.3,2,OS,2,Free
E1,2.4,1.2,1,EU,4,Free
E2,2.1,1.4,1,EU,4,Free
E3,2.2,1.5,1.2,EU,4,Free
E4,2.4,1.6,1.3,EU,4,Free
E5,2,1.4,1,EU,4,Free
L1,1.6,6.3,3.5,EU,5,Paid
L2,1.6,7.3,2.3,EU,5,Paid
M1,1.9,4.5,3.1,MW,3,Paid
M2,2.2,4.6,3.5,MW,3,Paid
O1,2.4,9.2,7.4,OS,4,Paid
O2,2.5,9,7.4,OS,4,Paid
O3,2.7,8.9,7.5,OS,4,Paid
O4,2.9,9,7.8,OS,4,Paid
O5,2.7,9.1,7.7,OS,4,Paid
S1,2.4,11.1,8.9,OS,6,Paid
S2,2.1,11.2,8.4,OS,6,Paid
S3,2.2,16.4,12.3,OS,7,Paid
T1,2.4,3.9,3.1,MW,4,Free
T2,2.1,3.7,2.7,MW,4,Free
T3,1.6,4.3,2.3,MW,4,Free
T4,2,5,3.6,MW,4,Free
